"Country or Territory","Station Name","WMO Station Number","National Station Id Number","Period","Element-Statistic Qualifier Code","Statistic Description","Unit","Jan","Jan Footnotes","Feb","Feb Footnotes","Mar","Mar Footnotes","Apr","Apr Footnotes","May","May Footnotes","Jun","Jun Footnotes","Jul","Jul Footnotes","Aug","Aug Footnotes","Sep","Sep Footnotes","Oct","Oct Footnotes","Nov","Nov Footnotes","Dec","Dec Footnotes","Annual","Annual Footnotes","Annual NCDC Computed Value","Annual NCDC Computed Value Footnotes"
"UNITED STATES OF AMERICA","OAK RIDGE, TN","72000","00406750","1962-1990","","Maximum Daily Value","cm","17.5","","13.7","","10.2","","7.6","",".0","",".0","",".0","",".0","",".0","","88888.8","1","2.0","","20.1","","-9999.9","2","-9999.9","2"
"UNITED STATES OF AMERICA","SEATTLE NMFC, WA","72000","00457458","1961-1990","","Maximum Daily Value","cm","20.3","","15.2","","13.0","","2.5","",".0","",".0","",".0","",".0","",".0","","88888.8","1","15.2","","25.4","","-9999.9","2","-9999.9","2"
"UNITED STATES OF AMERICA","KEY WEST/INTL, FL","72201","00084570","1961-1990","","Maximum Daily Value","cm",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","","-9999.9","2","-9999.9","2"
"UNITED STATES OF AMERICA","MIAMI, FL","72202","00085663","1961-1990","","Maximum Daily Value","cm",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","","-9999.9","2","-9999.9","2"
"UNITED STATES OF AMERICA","WEST PALM BEACH/INTL, FL","72203","00089525","1961-1990","","Maximum Daily Value","cm","88888.8","1",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","","-9999.9","2","-9999.9","2"
"UNITED STATES OF AMERICA","ORLANDO/JETPORT, FL","72205","00086628","1961-1990","","Maximum Daily Value","cm","88888.8","1",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","","-9999.9","2","-9999.9","2"
"UNITED STATES OF AMERICA","JACKSONVILLE/WSO AP FL","72206","00084358","1961-1990","","Maximum Daily Value","cm","88888.8","1","88888.8","1","1.3","",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","","2.0","","-9999.9","2","-9999.9","2"
"UNITED STATES OF AMERICA","SAVANNAH/MUNICIPAL, GA","72207","00097847","1961-1990","","Maximum Daily Value","cm","3.3","","9.1","","2.8","",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","","8.1","","-9999.9","2","-9999.9","2"
"UNITED STATES OF AMERICA","CHARLESTON/MUNICIPAL, SC","72208","00381544","1961-1990","","Maximum Daily Value","cm","2.0","","13.7","","5.1","",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","","15.2","","-9999.9","2","-9999.9","2"
"UNITED STATES OF AMERICA","TAMPA/INT'L ARPT FL","72211","00088788","1961-1990","","Maximum Daily Value","cm",".5","",".0","","88888.8","1",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","","88888.8","1","-9999.9","2","-9999.9","2"
"UNITED STATES OF AMERICA","TALLAHASSEE/MUNICIPAL, FL","72214","00088758","1961-1990","","Maximum Daily Value","cm","88888.8","1","1.0","","88888.8","1",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","","2.0","","-9999.9","2","-9999.9","2"
"UNITED STATES OF AMERICA","MACON/LEWIS B WILSON ARPT GA","72217","00095443","1961-1990","","Maximum Daily Value","cm","5.3","","27.9","","2.8","",".0","",".0","",".0","",".0","",".0","",".0","",".0","","88888.8","1","1.3","","-9999.9","2","-9999.9","2"
"UNITED STATES OF AMERICA","AUGUSTA/BUSH FIELD, GA","72218","00090495","1961-1990","","Maximum Daily Value","cm","5.8","","20.3","","2.8","",".0","",".0","",".0","",".0","",".0","",".0","",".0","","88888.8","1","1.0","","-9999.9","2","-9999.9","2"
"UNITED STATES OF AMERICA","ATLANTA/HARTSFIELD INTL AP GA","72219","00090451","1961-1990","","Maximum Daily Value","cm","10.7","","10.2","","20.1","","88888.8","1",".0","",".0","",".0","",".0","",".0","",".0","","2.5","","5.6","","-9999.9","2","-9999.9","2"
"UNITED STATES OF AMERICA","PENSACOLA FAA AP, FL","72222","00086997","1962-1990","","Maximum Daily Value","cm","3.8","","4.6","","88888.8","1",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","","88888.8","1","-9999.9","2","-9999.9","2"
"UNITED STATES OF AMERICA","MOBILE/WSO AIRPORT AL","72223","00015478","1961-1990","","Maximum Daily Value","cm","3.6","","9.1","","88888.8","1","88888.8","1",".0","",".0","",".0","",".0","",".0","",".0","","88888.8","1","7.6","","-9999.9","2","-9999.9","2"
"UNITED STATES OF AMERICA","MONTGOMERY AL","72226","00015550","1961-1990","","Maximum Daily Value","cm","7.6","","7.9","","88888.8","1","2.0","",".0","",".0","",".0","",".0","",".0","",".0","","88888.8","1","2.5","","-9999.9","2","-9999.9","2"
"UNITED STATES OF AMERICA","BIRMINGHAM/MUNICIPAL ARPT AL","72228","00010831","1961-1990","","Maximum Daily Value","cm","12.7","","2.0","","5.1","","12.7","",".0","",".0","",".0","",".0","",".0","",".0","","88888.8","1","20.3","","-9999.9","2","-9999.9","2"
"UNITED STATES OF AMERICA","NEW ORLEANS, LA","72231","00166660","1961-1990","","Maximum Daily Value","cm","1.0","","1.5","","88888.8","1",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","","6.9","","-9999.9","2","-9999.9","2"
"UNITED STATES OF AMERICA","MERIDIAN/KEY FEILD, MS","72234","00225776","1961-1990","","Maximum Daily Value","cm","10.2","","7.6","","3.8","","4.8","",".0","",".0","",".0","",".0","",".0","",".0","","88888.8","1","35.6","","-9999.9","2","-9999.9","2"
"UNITED STATES OF AMERICA","JACKSON/THOMPSON FIELD MS","72235","00224472","1963-1990","","Maximum Daily Value","cm","14.0","","9.1","","12.7","","1.5","",".0","",".0","",".0","",".0","",".0","",".0","",".5","","4.6","","-9999.9","2","-9999.9","2"
"UNITED STATES OF AMERICA","LAKE CHARLES/WSO AP LA","72240","00165078","1961-1990","","Maximum Daily Value","cm","10.2","","4.1","","88888.8","1",".0","",".0","",".0","",".0","",".0","",".0","",".0","","88888.8","1",".5","","-9999.9","2","-9999.9","2"
"UNITED STATES OF AMERICA","PORT ARTHUR, TX","72241","00417174","1961-1990","","Maximum Daily Value","cm","7.6","","1.8","","3.6","",".0","",".0","",".0","",".0","",".0","",".0","",".0","","88888.8","1","1.8","","-9999.9","2","-9999.9","2"
"UNITED STATES OF AMERICA","GALVESTON, TX","72242","00413430","1963-1990","","Maximum Daily Value","cm","6.3","","4.1","","88888.8","1",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","","2.5","","-9999.9","2","-9999.9","2"
"UNITED STATES OF AMERICA","HOUSTON/INTERCONTINENTAL, TX","72243","00414300","1969-1990","","Maximum Daily Value","cm","5.1","","3.6","",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","","88888.8","1","4.3","","-9999.9","2","-9999.9","2"
"UNITED STATES OF AMERICA","SHREVEPORT/WSO AP LA","72248","00168440","1961-1990","","Maximum Daily Value","cm","14.2","","11.2","","10.2","",".8","",".0","",".0","",".0","",".0","",".0","",".0","","3.3","","13.7","","-9999.9","2","-9999.9","2"
"UNITED STATES OF AMERICA","BROWNSVILLE/INTL, TX","72250","00411136","1961-1990","","Maximum Daily Value","cm","88888.8","1","88888.8","1",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","","88888.8","1","88888.8","1","-9999.9","2","-9999.9","2"
"UNITED STATES OF AMERICA","CORPUS CHRISTI/INTL, TX","72251","00412015","1961-1990","","Maximum Daily Value","cm","2.5","","2.5","","88888.8","1",".0","",".0","",".0","",".0","",".0","",".0","",".0","","88888.8","1","88888.8","1","-9999.9","2","-9999.9","2"
"UNITED STATES OF AMERICA","SAN ANTONIO/INTL, TX","72253","00417945","1961-1990","","Maximum Daily Value","cm","33.5","","7.9","","88888.8","1",".0","",".0","",".0","",".0","",".0","",".0","",".0","","88888.8","1",".5","","-9999.9","2","-9999.9","2"
"UNITED STATES OF AMERICA","AUSTIN/MUNICIPAL AP TX","72254","00410428","1961-1990","","Maximum Daily Value","cm","9.9","","12.7","","5.1","",".0","",".0","",".0","",".0","",".0","",".0","",".0","","2.5","","88888.8","1","-9999.9","2","-9999.9","2"
"UNITED STATES OF AMERICA","VICTORIA/REGIONAL AP TX","72255","00419364","1961-1990","","Maximum Daily Value","cm","5.3","","2.5","","88888.8","1",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".5","","88888.8","1","-9999.9","2","-9999.9","2"
"UNITED STATES OF AMERICA","WACO/MADISON-COOPER ARPT TX","72256","00419419","1961-1990","","Maximum Daily Value","cm","15.2","","10.7","","2.5","",".0","",".0","",".0","",".0","",".0","",".0","",".0","","1.8","","2.5","","-9999.9","2","-9999.9","2"
"UNITED STATES OF AMERICA","FORT WORTH/GREATER SW INT'L A,TX","72259","00412242","1961-1990","","Maximum Daily Value","cm","19.8","","19.0","","6.3","",".0","",".0","",".0","",".0","",".0","",".0","",".0","","11.9","","5.1","","-9999.9","2","-9999.9","2"
"UNITED STATES OF AMERICA","DEL RIO/INT'L ARPT TX","72261","00412360","1963-1990","","Maximum Daily Value","cm","21.3","","6.9","","7.6","",".0","",".0","",".0","",".0","",".0","",".0","",".0","","88888.8","1","88888.8","1","-9999.9","2","-9999.9","2"
"UNITED STATES OF AMERICA","SAN ANGELO/MATHIS, TX","72263","00417943","1961-1990","","Maximum Daily Value","cm","18.8","","8.1","","6.9","","88888.8","1",".0","",".0","",".0","",".0","",".0","",".0","","14.7","","8.4","","-9999.9","2","-9999.9","2"
"UNITED STATES OF AMERICA","MIDLAND/WSO AP TX","72265","00415890","1961-1990","","Maximum Daily Value","cm","11.7","","6.3","","12.4","","1.3","",".0","",".0","",".0","",".0","",".0","","88888.8","1","14.5","","10.9","","-9999.9","2","-9999.9","2"
"UNITED STATES OF AMERICA","ABILENE/MUNICIPAL ARPT TX","72266","00410016","1961-1990","","Maximum Daily Value","cm","16.8","","11.4","","15.2","",".0","",".0","",".0","",".0","",".0","",".0","","88888.8","1","8.9","","7.6","","-9999.9","2","-9999.9","2"
"UNITED STATES OF AMERICA","LUBBOCK/REGIONAL ARPT TX","72267","00415411","1961-1990","","Maximum Daily Value","cm","29.0","","30.7","","21.1","","11.2","",".0","",".0","",".0","",".0","",".0","","10.2","","26.9","","8.9","","-9999.9","2","-9999.9","2"
"UNITED STATES OF AMERICA","ROSWELL/INDUSTRIAL AIR PARK NM","72268","00297610","1973-1990","","Maximum Daily Value","cm","18.5","","29.2","","11.2","","7.6","","88888.8","1",".0","",".0","",".0","",".0","","7.9","","12.7","","21.6","","-9999.9","2","-9999.9","2"
"UNITED STATES OF AMERICA","EL PASO/INT'L ARPT TX","72270","00412797","1961-1990","","Maximum Daily Value","cm","11.4","","13.5","","15.5","","16.5","",".0","",".0","",".0","",".0","",".0","","2.5","","16.8","","36.8","","-9999.9","2","-9999.9","2"
"UNITED STATES OF AMERICA","TUCSON/INT'L ARPT AZ","72274","00028820","1961-1990","","Maximum Daily Value","cm","10.9","","5.6","","10.2","","5.1","",".0","",".0","",".0","",".0","",".0","",".0","",".3","","17.3","","-9999.9","2","-9999.9","2"
"UNITED STATES OF AMERICA","PHOENIX/SKY HARBOR INTL, AZ","72278","00026481","1961-1990","","Maximum Daily Value","cm","88888.8","1","88888.8","1",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".5","","-9999.9","2","-9999.9","2"
"UNITED STATES OF AMERICA","YUMA/INT'L ARPT AZ","72280","00029660","1961-1990","","Maximum Daily Value","cm",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","","88888.8","1","-9999.9","2","-9999.9","2"
"UNITED STATES OF AMERICA","SAN DIEGO/LINDBERGH FIELD CA","72290","00047740","1961-1990","","Maximum Daily Value","cm",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","","88888.8","1","-9999.9","2","-9999.9","2"
"UNITED STATES OF AMERICA","SAN NICOLAS ISLAND, CA","72291","00047870","1962-1989","","Maximum Daily Value","cm","88888.8","1",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","","-9999.9","2","-9999.9","2"
"UNITED STATES OF AMERICA","LOS ANGELES/INTL, CA","72295","00045114","1961-1990","","Maximum Daily Value","cm",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","","-9999.9","2","-9999.9","2"
"UNITED STATES OF AMERICA","LONG BEACH/WSCMO CA","72297","00045085","1961-1990","","Maximum Daily Value","cm",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","","-9999.9","2","-9999.9","2"
"UNITED STATES OF AMERICA","CAPE HATTERAS, NC","72304","00311458","1961-1990","","Maximum Daily Value","cm","8.9","","11.2","","16.0","","88888.8","1",".0","",".0","",".0","",".0","",".0","",".0","","88888.8","1","20.8","","-9999.9","2","-9999.9","2"
"UNITED STATES OF AMERICA","RALEIGH/RALEIGH-DURHAM, NC","72306","00317069","1961-1990","","Maximum Daily Value","cm","19.3","","26.2","","23.6","","4.6","",".0","",".0","",".0","",".0","",".0","",".0","","6.6","","9.1","","-9999.9","2","-9999.9","2"
"UNITED STATES OF AMERICA","NORFOLK/INTL, VA","72308","00446139","1961-1990","","Maximum Daily Value","cm","22.9","","34.5","","20.6","","3.0","",".0","",".0","",".0","",".0","",".0","",".0","",".8","","9.1","","-9999.9","2","-9999.9","2"
"UNITED STATES OF AMERICA","COLUMBIA/METRO ARPT SC","72310","00381939","1961-1990","","Maximum Daily Value","cm","10.9","","31.2","","10.4","",".0","",".0","",".0","",".0","",".0","",".0","",".0","","88888.8","1","2.0","","-9999.9","2","-9999.9","2"
"UNITED STATES OF AMERICA","ATHENS, GA","72311","00090435","1961-1990","","Maximum Daily Value","cm","18.0","","11.7","","22.1","",".0","",".0","",".0","",".0","",".0","",".0","",".0","","5.6","","7.6","","-9999.9","2","-9999.9","2"
"UNITED STATES OF AMERICA","GREENVILLE/G-SPARTANBURG, SC","72312","00383747","1962-1990","","Maximum Daily Value","cm","30.5","","20.8","","23.6","",".8","",".0","",".0","",".0","",".0","",".0","",".0","","4.8","","29.0","","-9999.9","2","-9999.9","2"
"UNITED STATES OF AMERICA","CHARLOTTE/DOUGLAS INT'L ARPT NC","72314","00311690","1961-1990","","Maximum Daily Value","cm","30.7","","25.4","","26.2","",".3","",".0","",".0","",".0","",".0","",".0","",".0","","4.3","","19.0","","-9999.9","2","-9999.9","2"
"UNITED STATES OF AMERICA","ASHEVILLE/REGIONAL, NC","72315","00310300","1964-1990","","Maximum Daily Value","cm","35.6","","21.8","","24.4","","29.2","",".0","",".0","",".0","",".0","",".0","","88888.8","1","13.7","","41.4","","-9999.9","2","-9999.9","2"
"UNITED STATES OF AMERICA","GREENSBORO/G.-HIGH PT., NC","72317","00313630","1961-1990","","Maximum Daily Value","cm","25.9","","23.6","","27.2","","88888.8","1",".0","",".0","",".0","",".0","",".0","",".0","","7.6","","11.7","","-9999.9","2","-9999.9","2"
"UNITED STATES OF AMERICA","HUNTSVILLE/MADISON COUNTY JET,AL","72323","00014064","1961-1990","","Maximum Daily Value","cm","18.3","","5.6","","5.3","","88888.8","1",".0","",".0","",".0","",".0","",".0","","88888.8","1","10.2","","39.9","","-9999.9","2","-9999.9","2"
"UNITED STATES OF AMERICA","CHATTANOOGA/LOVELL FIELD, TN","72324","00401656","1961-1990","","Maximum Daily Value","cm","25.9","","13.5","","11.4","","7.1","",".0","",".0","",".0","",".0","",".0","",".0","",".8","","14.0","","-9999.9","2","-9999.9","2"
"UNITED STATES OF AMERICA","KNOXVILLE/MUNICIPAL, TN","72326","00404950","1961-1990","","Maximum Daily Value","cm","25.1","","20.6","","17.0","","26.7","",".0","",".0","",".0","",".0","",".0","","88888.8","1","12.4","","17.8","","-9999.9","2","-9999.9","2"
"UNITED STATES OF AMERICA","NASHVILLE/METRO ARPT TN","72327","00406402","1961-1990","","Maximum Daily Value","cm","20.6","","17.0","","20.8","","2.8","",".0","",".0","",".0","",".0","",".0","","88888.8","1","18.3","","15.0","","-9999.9","2","-9999.9","2"
"UNITED STATES OF AMERICA","MEMPHIS/WSCMO AP TN","72334","00405954","1961-1990","","Maximum Daily Value","cm","20.6","","11.7","","22.1","","88888.8","1",".0","",".0","",".0","",".0","",".0","",".0","","3.0","","36.3","","-9999.9","2","-9999.9","2"
"UNITED STATES OF AMERICA","NORTH LITTLE ROCK/ARPT AR","72340","00035320","1978-1990","","Maximum Daily Value","cm","26.7","","17.0","","8.9","","88888.8","1",".0","",".0","",".0","",".0","",".0","",".0","","10.2","","6.1","","-9999.9","2","-9999.9","2"
"UNITED STATES OF AMERICA","FORT SMITH/MUNICIPAL, AR","72344","00032574","1961-1990","","Maximum Daily Value","cm","27.9","","14.0","","10.2","","88888.8","1",".0","",".0","",".0","",".0","",".0","",".0","","10.2","","17.0","","-9999.9","2","-9999.9","2"
"UNITED STATES OF AMERICA","WICHITA FALLS, TX","72351","00419729","1961-1990","","Maximum Daily Value","cm","20.6","","10.9","","24.6","","2.0","",".0","",".0","",".0","",".0","",".0","","88888.8","1","7.6","","14.2","","-9999.9","2","-9999.9","2"
"UNITED STATES OF AMERICA","OKLAHOMA CITY/WSFO AP OK","72353","00346661","1961-1990","","Maximum Daily Value","cm","21.1","","16.5","","16.0","","1.5","",".0","",".0","",".0","",".0","",".0","",".0","","14.0","","21.1","","-9999.9","2","-9999.9","2"
"UNITED STATES OF AMERICA","TULSA/WSO AP OK","72356","00348992","1961-1990","","Maximum Daily Value","cm","21.8","","10.4","","23.9","",".8","",".0","",".0","",".0","",".0","",".0","",".0","","10.2","","12.7","","-9999.9","2","-9999.9","2"
"UNITED STATES OF AMERICA","CLAYTON/MUNICIPAL, NM","72360","00291887","1961-1990","","Maximum Daily Value","cm","20.3","","21.6","","17.5","","21.6","","15.5","",".0","",".0","",".0","","6.6","","15.2","","30.5","","19.6","","-9999.9","2","-9999.9","2"
"UNITED STATES OF AMERICA","AMARILLO/INTL, TX","72363","00410211","1961-1990","","Maximum Daily Value","cm","17.8","","29.0","","16.0","","10.7","","1.3","",".0","",".0","",".0","",".8","","7.6","","19.3","","20.6","","-9999.9","2","-9999.9","2"
"UNITED STATES OF AMERICA","ALBUQUERQUE/INT'L ARPT NM","72365","00290234","1961-1990","","Maximum Daily Value","cm","13.0","","12.2","","21.6","","16.8","",".3","",".0","",".0","",".0","","88888.8","1","8.1","","6.1","","18.8","","-9999.9","2","-9999.9","2"
"UNITED STATES OF AMERICA","WINSLOW/MUNICIPAL ARPT AZ","72374","00029439","1961-1979","","Maximum Daily Value","cm","11.4","","19.8","","11.9","","6.6","","1.5","",".0","",".0","",".0","",".0","","16.8","","8.1","","36.8","","-9999.9","2","-9999.9","2"
"UNITED STATES OF AMERICA","BAKERSFIELD/MEADOWS FIELD CA","72384","00040442","1961-1990","","Maximum Daily Value","cm","88888.8","1","88888.8","1","3.8","",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","","88888.8","1","-9999.9","2","-9999.9","2"
"UNITED STATES OF AMERICA","LAS VEGAS/MCCARRAN, NV","72386","00264436","1961-1990","","Maximum Daily Value","cm","18.8","","3.6","",".3","",".0","",".0","",".0","",".0","",".0","",".0","",".0","","7.6","","5.1","","-9999.9","2","-9999.9","2"
"UNITED STATES OF AMERICA","FRESNO/AIR TERMINAL CA","72389","00043257","1961-1990","","Maximum Daily Value","cm","3.8","","88888.8","1",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","","3.0","","-9999.9","2","-9999.9","2"
"UNITED STATES OF AMERICA","SANTA BARBARA, CA","72392","00047905","1961-1990","","Maximum Daily Value","cm",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","","-9999.9","2","-9999.9","2"
"UNITED STATES OF AMERICA","SANTA MARIA/PUBLIC, CA","72394","00047946","1961-1990","","Maximum Daily Value","cm","88888.8","1","88888.8","1",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","","88888.8","1","88888.8","1","-9999.9","2","-9999.9","2"
"UNITED STATES OF AMERICA","RICHMOND/BYRD, VA","72401","00447201","1961-1990","","Maximum Daily Value","cm","33.8","","33.8","","26.9","","3.0","",".0","",".0","",".0","",".0","",".0","","88888.8","1","11.4","","15.5","","-9999.9","2","-9999.9","2"
"UNITED STATES OF AMERICA","WASHINGTON DC/DULLES INT'L AR,VA","72403","00448903","1962-1990","","Maximum Daily Value","cm","28.2","","57.1","","16.3","","6.9","","88888.8","1",".0","",".0","",".0","",".0","","3.3","","29.0","","26.9","","-9999.9","2","-9999.9","2"
"UNITED STATES OF AMERICA","WASHINGTON DC/NATIONAL ARPT VA","72405","00448906","1961-1990","","Maximum Daily Value","cm","30.5","","41.7","","12.2","","1.5","",".0","",".0","",".0","",".0","",".0","",".8","","29.2","","17.0","","-9999.9","2","-9999.9","2"
"UNITED STATES OF AMERICA","BALTIMORE/BALTO-WASH, MD","72406","00180465","1961-1990","","Maximum Daily Value","cm","31.2","","57.9","","25.4","","1.8","","88888.8","1",".0","",".0","",".0","",".0","",".8","","21.3","","21.3","","-9999.9","2","-9999.9","2"
"UNITED STATES OF AMERICA","ATLANTIC CITY, NJ","72407","00280311","1961-1990","","Maximum Daily Value","cm","36.3","","42.2","","29.2","","9.9","","88888.8","1",".0","",".0","",".0","",".0","","88888.8","1","19.8","","17.0","","-9999.9","2","-9999.9","2"
"UNITED STATES OF AMERICA","PHILADELPHIA/INT'L ARPT PA","72408","00366889","1961-1990","","Maximum Daily Value","cm","23.6","","53.6","","22.4","","8.9","","88888.8","1",".0","",".0","",".0","",".0","","5.3","","12.4","","31.5","","-9999.9","2","-9999.9","2"
"UNITED STATES OF AMERICA","LYNCHBURG WSO AP, VA","72410","00445120","1961-1990","","Maximum Daily Value","cm","31.2","","29.7","","32.3","","6.3","",".0","",".0","",".0","",".0","",".0","","6.1","","15.0","","25.1","","-9999.9","2","-9999.9","2"
"UNITED STATES OF AMERICA","ROANOKE/MUNICIPAL, VA","72411","00447285","1961-1990","","Maximum Daily Value","cm","34.5","","28.7","","23.9","","10.7","","88888.8","1",".0","",".0","",".0","",".0","",".8","","20.6","","37.1","","-9999.9","2","-9999.9","2"
"UNITED STATES OF AMERICA","BECKLEY/RALEIGH CO MEM AP WV","72412","00460582","1963-1990","","Maximum Daily Value","cm","23.4","","21.8","","24.1","","33.3","","3.3","",".0","",".0","",".0","","88888.8","1","6.9","","16.0","","34.8","","-9999.9","2","-9999.9","2"
"UNITED STATES OF AMERICA","CHARLESTON/KANAWHA ARPT WV","72414","00461570","1961-1990","","Maximum Daily Value","cm","31.2","","25.1","","18.3","","27.7","","1.5","",".0","",".0","",".0","",".0","","7.1","","10.2","","27.9","","-9999.9","2","-9999.9","2"
"UNITED STATES OF AMERICA","ELKINS/RANDOLPH CO ARPT WV","72417","00462718","1962-1990","","Maximum Daily Value","cm","24.9","","32.5","","20.1","","22.4","","1.8","",".0","",".0","",".0","",".0","","8.1","","29.5","","45.2","","-9999.9","2","-9999.9","2"
"UNITED STATES OF AMERICA","CINCINNATI/GREATER CINCINNATI,KY","72421","00151855","1961-1990","","Maximum Daily Value","cm","19.3","","23.6","","24.9","","7.6","",".5","",".0","",".0","",".0","",".0","","12.7","","22.1","","19.0","","-9999.9","2","-9999.9","2"
"UNITED STATES OF AMERICA","LEXINGTON/BLUEGRASS FIELD KY","72422","00154746","1961-1990","","Maximum Daily Value","cm","23.9","","18.5","","18.8","","12.2","","88888.8","1",".0","",".0","",".0","",".0","",".5","","19.0","","19.8","","-9999.9","2","-9999.9","2"
"UNITED STATES OF AMERICA","LOUISVILLE/STANDIFORD FIELD KY","72423","00154954","1961-1990","","Maximum Daily Value","cm","21.1","","27.9","","30.5","","3.6","","88888.8","1",".0","",".0","",".0","",".0","","3.6","","32.8","","12.7","","-9999.9","2","-9999.9","2"
"UNITED STATES OF AMERICA","HUNTINGTON/TRI-STATE, WV","72425","00464393","1961-1990","","Maximum Daily Value","cm","26.4","","25.4","","20.1","","17.3","",".5","",".0","",".0","",".0","",".0","","1.0","","11.2","","17.0","","-9999.9","2","-9999.9","2"
"UNITED STATES OF AMERICA","COLUMBUS WSO AP, OH","72428","00331786","1961-1990","","Maximum Daily Value","cm","17.3","","22.6","","21.8","","31.2","","2.0","",".0","",".0","",".0","","88888.8","1","3.3","","15.2","","14.5","","-9999.9","2","-9999.9","2"
"UNITED STATES OF AMERICA","DAYTON/INT'L AP, OH","72429","00332075","1961-1990","","Maximum Daily Value","cm","31.0","","18.3","","28.4","","11.9","","88888.8","1",".0","",".0","",".0","",".0","","12.2","","16.5","","15.7","","-9999.9","2","-9999.9","2"
"UNITED STATES OF AMERICA","EVANSVILLE/REGIONAL, IN","72432","00122738","1961-1990","","Maximum Daily Value","cm","19.8","","21.6","","21.1","","21.8","",".0","",".0","",".0","",".0","",".0","","2.3","","9.7","","16.8","","-9999.9","2","-9999.9","2"
"UNITED STATES OF AMERICA","ST. LOUIS/LAMBERT, MO","72434","00237455","1961-1990","","Maximum Daily Value","cm","27.7","","19.8","","25.4","","12.7","",".0","",".0","",".0","",".0","",".0","","88888.8","1","19.3","","30.5","","-9999.9","2","-9999.9","2"
"UNITED STATES OF AMERICA","INDIANAPOLIS/INT'L ARPT IN","72438","00124259","1961-1990","","Maximum Daily Value","cm","26.2","","19.8","","14.0","","4.8","",".5","",".0","",".0","",".0","",".0","","19.0","","19.8","","24.6","","-9999.9","2","-9999.9","2"
"UNITED STATES OF AMERICA","SPRINGFIELD/CAPITAL ARPT IL","72439","00118179","1961-1990","","Maximum Daily Value","cm","20.3","","20.8","","20.8","","15.5","","88888.8","1",".0","",".0","",".0","",".0","",".8","","19.3","","27.7","","-9999.9","2","-9999.9","2"
"UNITED STATES OF AMERICA","SPRINGFIELD/REGIONAL AP MO","72440","00237976","1961-1990","","Maximum Daily Value","cm","23.1","","30.2","","39.9","","17.5","",".0","",".0","",".0","",".0","",".0","","88888.8","1","19.0","","16.0","","-9999.9","2","-9999.9","2"
"UNITED STATES OF AMERICA","COLUMBIA/REGIONAL ARPT MO","72445","00231791","1969-1990","","Maximum Daily Value","cm","21.8","","30.0","","16.0","","17.8","",".0","",".0","",".0","",".0","",".0","",".3","","19.3","","28.4","","-9999.9","2","-9999.9","2"
"UNITED STATES OF AMERICA","KANSAS CITY/INTL ARPT MO","72446","00234358","1972-1990","","Maximum Daily Value","cm","19.3","","14.0","","22.1","","8.1","",".0","",".0","",".0","",".0","",".0","","88888.8","1","9.9","","24.6","","-9999.9","2","-9999.9","2"
"UNITED STATES OF AMERICA","WICHITA/MID-CONTINENT ARPT KS","72450","00148830","1961-1990","","Maximum Daily Value","cm","30.5","","29.5","","30.0","","11.7","",".0","",".0","",".0","",".0","",".0","","88888.8","1","17.3","","19.0","","-9999.9","2","-9999.9","2"
"UNITED STATES OF AMERICA","DODGE CITY/MUNICIPAL, KS","72451","00142164","1961-1990","","Maximum Daily Value","cm","28.7","","26.2","","21.3","","14.5","","2.3","",".0","",".0","",".0","","88888.8","1","9.1","","14.7","","15.2","","-9999.9","2","-9999.9","2"
"UNITED STATES OF AMERICA","TOPEKA/MUNICIPAL ARPT KS","72456","00148167","1961-1990","","Maximum Daily Value","cm","28.7","","28.7","","19.8","","17.3","",".0","",".0","",".0","",".0","",".0","","2.0","","15.5","","22.9","","-9999.9","2","-9999.9","2"
